Campaign Number,Name,Start Date,End Date,Channel,Client,Street,City,State,State,Country,Zip,Email,Phone,Contact,Gender,Age,Location,Views,Likes,Clicks,Conversions,CR,Expense,Executive
1,Campaign 1,2023-12-18,2024-01-10,YouTube,Lopez PLC,0806 Watson Drive Suite 662,Port Andrea,DE,Delaware,USA,42578,zmcintyre@bauer.info,+3724028579,Barbara Walker,,18-40,USA,23458,7718,1056,702,0.02993,13961.03,Lauren Riggs
2,Campaign 2,2023-10-12,2023-11-09,Email,Weaver|Garner|Ramos,2933 Ortiz Overpass Suite 099,South Douglasburgh,KY,Kentucky,USA,52632,oscott@gmail.com,+4989787718501,Melinda Johnston,Female,60+,LATAM,92422,8075,1360,182,0.00197,43804.31,Brandon Townsend Jr.
3,Campaign 3,2023-05-18,2023-06-04,TikTok,Salinas|Chavez,53637 Bonnie Walk Suite 961,South Adrianaport,IA,Iowa,USA,49560,richard84@hotmail.com,+2545622603,Chelsea Hoffman,Male,40-60,Canada,45934,2446,1655,669,0.01456,36007.47,Thomas Ryan
4,Campaign 4,2023-02-23,2023-03-09,Instagram,Russell|Wilson|Rogers,27907 Deborah Hill Suite 235,Abigailbury,CO,Colorado,USA,58408,michael78@yahoo.com,+9952136315,Michael Howard,Female,18-40,Europe,30391,1700,2669,243,0.00800,37425.85,Thomas Ryan
5,Campaign 5,2023-11-20,2023-12-11,Instagram,White Ltd,172 Angela Crescent Apt. 306,North Laura,HI,Hawaii,USA,69094,jeremy56@gmail.com,+3201853187395,Nathan Weber,Male,60+,Canada,52042,191,4242,753,0.01447,48590.34,Jesus Rivera
6,Campaign 6,2023-09-19,2023-10-05,YouTube,Patterson|Sons,0171 Patricia Street Suite 265,Frankmouth,MS,Mississippi,USA,50700,nataliemartinez@hotmail.com,+2281662016,Christopher Riggs,Male,60+,USA,40365,7775,1499,945,0.02341,26693.82,Jesus Rivera
7,Campaign 7,2023-06-19,2023-07-09,Instagram,Salinas|Chavez,53637 Bonnie Walk Suite 961,South Adrianaport,IA,Iowa,USA,49560,richard84@hotmail.com,+2545622603,Chelsea Hoffman,,60+,Japan,51437,4435,97,498,0.00968,4274.45,Thomas Ryan
8,Campaign 8,2023-07-08,2023-07-20,Facebook,Weaver|Hoover,050 Andrews Green,North Renee,VT,Vermont,USA,22014,jacqueline32@dominguez.biz,+5741894981166,Kathy Mahoney,,40-60,UK,63951,4627,1858,798,0.01248,7863.2,Brandon Townsend Jr.
9,Campaign 9,2023-04-24,2023-05-17,Email,White Ltd,172 Angela Crescent Apt. 306,North Laura,HI,Hawaii,USA,69094,jeremy56@gmail.com,+3201853187395,Nathan Weber,,18-40,Australia,24495,8354,4208,527,0.02151,14404.95,Jesus Rivera
10,Campaign 10,2023-06-05,2023-06-07,Facebook,Ross Group,2397 Allison Knolls Suite 213,Jacksonside,WV,West Virginia,USA,58803,kristopher99@romero.org,+184424524870945,Lauren Graham,Male,60+,USA,49877,8180,905,937,0.01879,26039.88,Brandon Townsend Jr.
11,Campaign 11,2023-09-23,2023-10-04,YouTube,Noble|Mcneil|Cooper,36911 Gay Streets Suite 795,Brentmouth,LA,Louisiana,USA,62951,sarahparks@yahoo.com,+35660863350070,Mark Garcia,Male,60+,Australia,76265,894,2198,19,0.00025,13777.14,Wesley Simon
12,Campaign 12,2023-12-24,2024-01-21,Facebook,Reed|Galloway|Buck,49317 Vincent Vista Suite 462,Port Nathan,CA,California,USA,23364,larrygraham@lucas.com,+6697082006,Andrea Simmons,Male,60+,LATAM,12061,5983,3720,193,0.01600,21295.14,Wesley Simon
13,Campaign 13,2023-05-22,2023-06-03,Email,Ramirez|Wilson,6802 Scott Ways,Jasonbury,NM,New Mexico,USA,94299,robertellis@simpson-gutierrez.com,+41408698958325,Christine Nguyen,Female,18-40,USA,46002,7059,1447,763,0.01659,35410.1,Becky Brown
